state_load,state_hour,state_pv,state_battery_soc,state_capa_to_charge,state_capa_to_discharge,state_grid_status,state_grid_co2,state_grid_price_import,state_grid_price_export,state_co2_emission,state_pv_load_diff,state_cost,state_normalized_cost,state_prev_load,state_prev_pv,state_prev_grid_price_import,state_prev_grid_co2,state_prev_action_grid_import,state_cost_co2,state_sum_load,action_battery_power,config_starting_time_step,config_cost_battery,episode,iteration
22352.297568206704,15.0,1630.3751500484022,0.2,58048.88888888889,0.0,1.0,0.28413637399999997,0.08,0.0,3308.5764268383678,-20721.9224181583,1188.1100644739004,-0.0003719996839279338,22533.150056759754,9994.908528557597,0.08,0.308760999,10715.655272375796,0.1,543229.6437556096,-1822.586255826362,0,0,0,255
16991.903151248633,16.0,0.0,0.2,58048.88888888889,0.0,1.0,0.24901169,0.2,0.0,5887.851898204811,-16991.903151248633,2246.5389832731453,0.0,22352.297568206704,1630.3751500484022,0.08,0.28413637399999997,20721.9224181583,0.1,543229.6437556096,0,0,0,0,256
17642.959724410335,17.0,0.0,0.2,58048.88888888889,0.0,1.0,0.23321248100000003,0.2,0.0,4231.182520008748,-17642.959724410335,3821.4988822506016,0.0,16991.903151248633,0.0,0.2,0.24901169,16991.903151248633,0.1,543229.6437556096,0,0,0,0,257
17683.45641091861,18.0,0.0,0.2,58048.88888888889,0.0,1.0,0.219375824,0.2,0.0,4114.558409512811,-17683.45641091861,3940.0477858333484,0.0,17642.959724410335,0.0,0.2,0.23321248100000003,17642.959724410335,0.1,543229.6437556096,0,0,0,0,258
17682.072113056045,19.0,0.0,0.2,58048.88888888889,0.0,1.0,0.21633989,0.2,0.0,3879.3228213133525,-17682.072113056045,3924.6235643150576,0.0,17683.45641091861,0.0,0.2,0.219375824,17683.45641091861,0.1,543229.6437556096,0,0,0,0,259
7567.149362631173,20.0,0.0,0.2,58048.88888888889,0.0,1.0,0.211687978,0.2,0.0,3825.3375359106126,-7567.149362631173,3918.9481762022706,0.0,17682.072113056045,0.0,0.2,0.21633989,17682.072113056045,0.1,543229.6437556096,0,0,0,0,260
7552.007108866779,21.0,0.0,0.2,58048.88888888889,0.0,1.0,0.22754939600000001,0.2,0.0,1601.8745477993818,-7552.007108866779,1673.617327306173,0.0,7567.149362631173,0.0,0.2,0.211687978,7567.149362631173,0.1,543229.6437556096,0,0,0,0,261
7658.687977093711,22.0,0.0,0.2,58048.88888888889,0.0,1.0,0.24164401,0.2,0.0,1718.454656210342,-7658.687977093711,1682.2468873943901,0.0,7552.007108866779,0.0,0.2,0.22754939600000001,7552.007108866779,0.1,543229.6437556096,0,0,0,0,262
7554.880503973182,23.0,0.0,0.2,58048.88888888889,0.0,1.0,0.265387961,0.08,0.0,1850.6760741237124,-7554.880503973182,1716.8052028311135,0.0,7658.687977093711,0.0,0.2,0.24164401,7658.687977093711,0.1,543229.6437556096,0,0,0,0,263
7553.709111887972,0.0,0.0,0.2,58048.88888888889,0.0,1.0,0.285720046,0.08,0.0,2004.9743325480954,-7553.709111887972,804.8878735726641,0.0,7554.880503973182,0.0,0.08,0.265387961,7554.880503973182,0.1,543229.6437556096,0,0,0,0,264
7552.513202091113,1.0,0.0,0.2,58048.88888888889,0.0,1.0,0.288836207,0.08,0.0,2158.2461149192504,-7552.513202091113,820.1213404429627,0.0,7553.709111887972,0.0,0.08,0.285720046,7553.709111887972,0.1,543229.6437556096,0,0,0,0,265
7551.511409701787,2.0,0.0,0.2,58048.88888888889,0.0,1.0,0.281938519,0.08,0.0,2181.439266609422,-7551.511409701787,822.3449828282312,0.0,7552.513202091113,0.0,0.08,0.288836207,7552.513202091113,0.1,543229.6437556096,0,0,0,0,266
7579.542963632817,3.0,0.0,0.2,58048.88888888889,0.0,1.0,0.28461962399999996,0.08,0.0,2129.061943062924,-7579.542963632817,817.0271070824354,0.0,7551.511409701787,0.0,0.08,0.281938519,7551.511409701787,0.1,543229.6437556096,0,0,0,0,267
8168.666562151807,4.0,0.0,0.2,58048.88888888889,0.0,1.0,0.290527869,0.2,0.0,2157.286668401018,-8168.666562151807,822.0921039307273,0.0,7579.542963632817,0.0,0.08,0.28461962399999996,7579.542963632817,0.1,543229.6437556096,0,0,0,0,268
8885.666889148833,5.0,0.0,0.2,58048.88888888889,0.0,1.0,0.291229428,0.2,0.0,2373.2252888735206,-8885.666889148833,1871.0558413177134,0.0,8168.666562151807,0.0,0.2,0.290527869,8168.666562151807,0.1,543229.6437556096,0,0,0,0,269
16900.985966582346,6.0,0.0,0.2,58048.88888888889,0.0,1.0,0.2903171,0.2,0.0,2587.7676855253544,-16900.985966582346,2035.9101463823022,0.0,8885.666889148833,0.0,0.2,0.291229428,8885.666889148833,0.1,543229.6437556096,0,0,0,0,270
22666.493815083555,7.0,5670.8700871248775,0.2,58048.88888888889,0.0,1.0,0.286878894,0.2,0.0,4906.645232958884,-16995.62372795868,3870.861716612358,0.0,16900.985966582346,0.0,0.2,0.2903171,16900.985966582346,0.1,543229.6437556096,0,0,0,0,271
